,titles,images,ratings,prices
54,"UMIDIGI Unlocked Cell Phone, G5 Android 13 Smartphones, 5000mAh 8+128GB/TF 1TB Expand, Ultra-Slim 6.6"" Screen Unlocked Phones, 50MP AI Camera Fingerprint/Face Unlocked 4G Dual SIM Mobile Phones Grey",https://m.media-amazon.com/images/I/71wE1X+3s0L._AC_UY218_.jpg,4.1 out of 5 stars,$139.99
55,"Samsung Galaxy A32 (5G) 64GB A326U (T-Mobile/Sprint Unlocked) 6.5"" Display Quad Camera Long Lasting Battery Smartphone - Black (Renewed)",https://m.media-amazon.com/images/I/61wXWc-NAmL._AC_UY218_.jpg,4.0 out of 5 stars,$120.00
56,"Alcatel 1 (32GB) 5.0"" Full View Display - Removable Battery - Dual SIM GSM Unlocked US & Global 4G LTE International Version - Al Aqua",https://m.media-amazon.com/images/I/71EpXBL9yZL._AC_UY218_.jpg,3.7 out of 5 stars,$35.99
57,"Unlocked Phone C23 Ultra 4G Cell Phone 2023 Android 13 Mobile Phone with Build-in Pen, 8GB+256GB, 6.8"" Display, 50MP+13MP Camera 6800 mAh (Green)",https://m.media-amazon.com/images/I/61Cf2jNQlNL._AC_UY218_.jpg,5.0 out of 5 stars,$169.99
58,Motorola Moto G Stylus 5G | 2021 | 2-Day Battery | Unlocked | Made for US 4/128GB | 48MP Camera | Cosmic Emerald,https://m.media-amazon.com/images/I/51bfhhUKhTL._AC_UY218_.jpg,4.3 out of 5 stars,$252.99
59,Samsung Galaxy S20+ 5G 128GB Fully Unlocked Smartphone (Renewed),https://m.media-amazon.com/images/I/61Q9IXJ1zcS._AC_UY218_.jpg,4.1 out of 5 stars,$208.99
60,Unlocked Cell Phones (Black),https://m.media-amazon.com/images/I/61Bjfxd2bML._AC_UY218_.jpg,5.0 out of 5 stars,$189.99
61,Unlocked Android Phone Smartphone 2GB+16GB Cell Phone 5000mAh Battery for Extended Standby 6.7inch HD Screen Mobile Phone 4G Dual SIM Capability (Rose Gold),https://m.media-amazon.com/images/I/61USQJ54SFL._AC_UY218_.jpg,No Rating,$89.99
62,"Motorola razr | 2023 | Unlocked | Made for US 8/128 | 32MP Camera | Sage Green, 73.95 x 170.82 x 7.35mm",https://m.media-amazon.com/images/I/61y8ZqM0vvL._AC_UY218_.jpg,4.2 out of 5 stars,$499.99
63,"Mobile Phone Stand Desktop Mobile Phone Stand,Foldable Portable Mobile Phone Stand,Adjustable Angle,Suitable for 4-12 inch Mobile Phones and Tablets",https://m.media-amazon.com/images/I/51bvhpI-AGL._AC_UY218_.jpg,5.0 out of 5 stars,$6.90
